Reference 1,Reference 1 sequence length,Reference 2,Reference 2 sequence length,Hamming distance
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Pseudanabaena_sp._PCC_7367:2484739-2486223(+),1484,691
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Pseudothermotoga_hypogea_DSM_11164_=_NBRC_106472:1172009-1173554(+),1545,920
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Oscillochloris_trichoides_DG-6:1-1418(+),1417,719
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Caldimicrobium_thiodismutans_strain_TF1:1135819-1137387(+),1568,924
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Pseudanabaena_sp._ABRG5-3:845779-847261(+),1482,528
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Elioraea_tepidiphila_DSM_17972:9827-11310(-),1483,709
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Thermodesulfovibrio_thiophilus_DSM_17215:3513-5045(+),1532,812
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Chloroflexus_sp._Y-396-1:2936202-2937687(-),1485,745
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Thermocrinis_ruber_strain_DSM_23557:557272-558830(-),1558,931
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Thermus_aquaticus_Y51MC23:220083-221598(+),1515,978
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Thermus_brockianus_strain_GE-1:1373777-1375296(+),1519,984
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Gloeomargarita_lithophora_Alchichica-D10:807823-809309(-),1486,767
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Meiothermus_taiwanensis_WR-220:2629987-2631474(-),1487,857
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Chloroflexus_sp._MS-G:16-1502(-),1486,745
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Chloroflexus_islandicus_strain_isl-2:1-1481(+),1480,690
Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,Thermodesulfovibrio_sp._N1:7307-8840(-),1533,808
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,569
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,899
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,856
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,760
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Roseiflexus_sp._RS-1:2803533-2805008(+),1475,0
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,949
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,928
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Chloroflexus_aurantiacus_J-10-fl:778921-780404(-),1483,729
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Chloroflexus_aggregans_DSM_9485:3007553-3009037(+),1484,718
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Chloroflexus_aurantiacus_Y-400-fl:779063-780546(-),1483,729
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Meiothermus_ruber_DSM_1279:256482-257969(+),1487,924
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Meiothermus_silvanus_DSM_9946:3154468-3155958(+),1490,927
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Chloracidobacterium_thermophilum_B:103118-104615(+),1497,859
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Ignavibacterium_album_JCM_16511:794756-796292(+),1536,937
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Pseudanabaena_sp._PCC_7367:2484739-2486223(+),1484,1041
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Pseudothermotoga_hypogea_DSM_11164_=_NBRC_106472:1172009-1173554(+),1545,906
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Oscillochloris_trichoides_DG-6:1-1418(+),1417,708
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Caldimicrobium_thiodismutans_strain_TF1:1135819-1137387(+),1568,877
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Pseudanabaena_sp._ABRG5-3:845779-847261(+),1482,1072
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Elioraea_tepidiphila_DSM_17972:9827-11310(-),1483,1040
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Thermodesulfovibrio_thiophilus_DSM_17215:3513-5045(+),1532,877
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Chloroflexus_sp._Y-396-1:2936202-2937687(-),1485,741
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Thermocrinis_ruber_strain_DSM_23557:557272-558830(-),1558,846
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Thermus_aquaticus_Y51MC23:220083-221598(+),1515,927
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Thermus_brockianus_strain_GE-1:1373777-1375296(+),1519,936
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Gloeomargarita_lithophora_Alchichica-D10:807823-809309(-),1486,1038
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Meiothermus_taiwanensis_WR-220:2629987-2631474(-),1487,923
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Chloroflexus_sp._MS-G:16-1502(-),1486,743
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Chloroflexus_islandicus_strain_isl-2:1-1481(+),1480,726
Roseiflexus_sp._RS-1:2803533-2805008(+),1475,Thermodesulfovibrio_sp._N1:7307-8840(-),1533,861
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,575
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,826
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,856
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,779
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Roseiflexus_sp._RS-1:2803533-2805008(+),1475,949
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,0
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,917
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Chloroflexus_aurantiacus_J-10-fl:778921-780404(-),1483,674
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Chloroflexus_aggregans_DSM_9485:3007553-3009037(+),1484,734
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Chloroflexus_aurantiacus_Y-400-fl:779063-780546(-),1483,674
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Meiothermus_ruber_DSM_1279:256482-257969(+),1487,926
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Meiothermus_silvanus_DSM_9946:3154468-3155958(+),1490,923
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Chloracidobacterium_thermophilum_B:103118-104615(+),1497,864
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Ignavibacterium_album_JCM_16511:794756-796292(+),1536,919
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Pseudanabaena_sp._PCC_7367:2484739-2486223(+),1484,960
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Pseudothermotoga_hypogea_DSM_11164_=_NBRC_106472:1172009-1173554(+),1545,905
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Oscillochloris_trichoides_DG-6:1-1418(+),1417,694
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Caldimicrobium_thiodismutans_strain_TF1:1135819-1137387(+),1568,880
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Pseudanabaena_sp._ABRG5-3:845779-847261(+),1482,1011
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Elioraea_tepidiphila_DSM_17972:9827-11310(-),1483,992
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Thermodesulfovibrio_thiophilus_DSM_17215:3513-5045(+),1532,908
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Chloroflexus_sp._Y-396-1:2936202-2937687(-),1485,704
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Thermocrinis_ruber_strain_DSM_23557:557272-558830(-),1558,842
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Thermus_aquaticus_Y51MC23:220083-221598(+),1515,915
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Thermus_brockianus_strain_GE-1:1373777-1375296(+),1519,905
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Gloeomargarita_lithophora_Alchichica-D10:807823-809309(-),1486,931
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Meiothermus_taiwanensis_WR-220:2629987-2631474(-),1487,925
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Chloroflexus_sp._MS-G:16-1502(-),1486,706
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Chloroflexus_islandicus_strain_isl-2:1-1481(+),1480,686
Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,Thermodesulfovibrio_sp._N1:7307-8840(-),1533,896
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Candidatus_Thermochlorobacteriaceae_bacterium_GBChlB:22459-23426(+),967,602
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Synechococcus_sp._JA-3-3Ab:2310382-2311853(+),1471,916
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Synechococcus_sp._JA-2-3B'a(2-13):1447560-1449029(+),1469,906
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Candidatus_Solibacter_usitatus_Ellin6076:1248101-1249598(+),1497,917
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Roseiflexus_sp._RS-1:2803533-2805008(+),1475,928
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Roseiflexus_castenholzii_DSM_13941:3886209-3887682(-),1473,917
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,0
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Chloroflexus_aurantiacus_J-10-fl:778921-780404(-),1483,910
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Chloroflexus_aggregans_DSM_9485:3007553-3009037(+),1484,914
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Chloroflexus_aurantiacus_Y-400-fl:779063-780546(-),1483,910
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Meiothermus_ruber_DSM_1279:256482-257969(+),1487,929
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Meiothermus_silvanus_DSM_9946:3154468-3155958(+),1490,938
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Chloracidobacterium_thermophilum_B:103118-104615(+),1497,976
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Ignavibacterium_album_JCM_16511:794756-796292(+),1536,901
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Pseudanabaena_sp._PCC_7367:2484739-2486223(+),1484,927
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Pseudothermotoga_hypogea_DSM_11164_=_NBRC_106472:1172009-1173554(+),1545,130
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Oscillochloris_trichoides_DG-6:1-1418(+),1417,879
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Caldimicrobium_thiodismutans_strain_TF1:1135819-1137387(+),1568,953
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Pseudanabaena_sp._ABRG5-3:845779-847261(+),1482,928
Pseudothermotoga_lettingae_TMO:2011263-2012816(-),1553,Elioraea_tepidiphila_DSM_17972:9827-11310(-),1483,934
